morfologia fotos 
adornata  
albohirta  
albosignata albosignata 
albotibialis  
alticola alticola 
andicola andicola 
 angusta 
antillanca  
antilope antilope 
 appendiculata 
arauca arauca 
arica arica 
bejeranoi bejeranoi 
belenensis bonariensis 
boliviame  
bonariensis  
brethesi  
bruchii bruchi bruchii
 bulbiscapens 
bulbula bulbula 
canipilis canipilis 
caprii caprii 
chilensis chilensis 
chillan chillan 
chubutensis chubutensis 
colla colla 
collagua  
coquimbo coquimbo 
cumelafquen cumelafquen 
delpontei  
delpontei_sepiapes "delpontei sepiapes" 
diaguita diaguita 
 dixoni 
elquiensis elquiensis 
erynnis erynnis 
excelsior  
fairchildi fairchildi 
fornesi fornesi 
frequens frequens 
fumifrons  
 gentilis 
 gregaria 
geminata  
hepperi hepperi 
hirsuta hirsuta 
inata inata 
kroeberi kroeberi 
kroeberi_picea ? 
limbativena  
mendozana mendozana 
minor minor 
missionum missionum 
montium  
 neobasis 
neogrisescens  
nigra nigra 
nigrifemur  
nigrifrons nigrifrons 
opaca opaca 
ornatissima ornatissima 
pallipes pallipes 
penai penai 
pereirai "pereirai " 
pereirai_dureti "pereirai dureti" 
 "pereirai pereira" 
 "pereirai pereirai" 
persignata persignata 
pilifer  
poroma poroma 
pruinivitta pruinivitta 
punensis  
 rubricallosa 
schineri  
schnusei  
senilis senilis 
shannoni  
subtrita subtrita 
testaceomaculata testaceomaculata 
testaceomaculata_longifrons  
testaceomaculata_molestissima  
trigonophora trigonophora 
tritus trita 
vasta vasta 
n_sp_1 ? 
n_sp_2 ? 
n_sp_4 ? 
