xls,mtr
Acellomyia,Acellomyia
adornata,adornata
Agelanius,Agelanius
albohirta,albohirta
albosignata,albosignata
albotibialis,albotibialis
alticola,alticola
andicola,andicola
antillanca,antillanca
antilope,antilope
arauca,arauca
arica,arica
bejeranoi,bejeranoi
belenensis,belenensis
boliviame,boliviame
bonariensis,bonariensis
brethesi,brethesi
bruchii,bruchii
bulbula,bulbula
canipilis,canipilis
caprii,caprii
chilensis,chilensis
chillan,chillan
chubutensis,chubutensis
colla,colla
collagua,collagua
coquimbo,coquimbo
cumelafquen,cumelafquen
Dasybasis_appendiculata,Dasybasis_appendiculata
delpontei,delpontei
delpontei_sepiapes,delpontei_sepiapes
diaguita,diaguita
Dicladocera,Dicladocera
dixoni,dixoni
dubiosa,dubiosa
elquiensis,elquiensis
erynnis,erynnis
excelsior,excelsior
fairchildi,fairchildi
fornesi,fornesi
frequens,frequens
fumifrons,fumifrons
geminata,geminata
gentilis,gentilis
Haematopotina,Haematopotina
hepperi,hepperi
HHaematopotina_argentina,hirsuta
HHaematopotinasa_pechumani,inata
hirsuta,kroeberi
inata,limbativena
kroeberi,mendozana
kroeberi_picea,minor
limbativena,missionum
mendozana,montium
minor,nemopunctata
missionum,neogrisescens
montium,nigra
nemopunctata,nigrifemur
neogrisescens,nigrifrons
nigra,Nubiloides
nigrifemur,opaca
nigrifrons,ornatissima
n.sp.1,pallipes
Nubiloides,penai
opaca,pereirai
ornatissima,pereirai_dureti
pallipes,persignata
penai,pilifer
pereirai,poroma
pereirai_dureti,pruinivitta
persignata,punensis
pilifer,Scaptiodes_gagatina
poroma,schineri
pruinivitta,schnusei
punensis,senilis
Scaptiodes_gagatina,shannoni
schineri,Stenotabanus_incipiens
schnusei,Stenotabanus_sandyi
senilis,St_taeniotes
shannoni,subtrita
Stenotabanus_incipiens,Tabanus
Stenotabanus_sandyi,testaceomaculata
subtrita,trigonophora
Tabanus_importunus,trilinealis
testaceomaculata,tritus
testaceomaculata_longifrons,vasta
testaceomaculata_molestissima,
trigonophora,
trilinealis,
tritus,
vasta,
antillanca,
collagua,
