k;%;support;comp;supportN;compN;averageMin;averageMax     
1;33;0.189;0.228;0.152;0.184;0.607;0.584     
2;33;0.193;0.231;0.154;0.185;0.626;0.591     
3;33;0.191;0.197;0.154;0.159;0.605;0.601     
4;33;0.196;0.201;0.160;0.164;0.624;0.612     
5;33;0.176;0.201;0.144;0.164;0.644;0.557     
6;33;0.187;0.197;0.153;0.162;0.652;0.577     
7;33;0.187;0.197;0.154;0.162;0.659;0.571     
8;33;0.193;0.204;0.159;0.168;0.658;0.585     
9;33;0.200;0.210;0.165;0.174;0.667;0.578     
10;33;0.202;0.206;0.167;0.170;0.678;0.620     
11;33;0.203;0.207;0.168;0.172;0.691;0.624     
12;33;0.206;0.210;0.171;0.175;0.699;0.632     
13;33;0.208;0.212;0.173;0.177;0.697;0.634     
14;33;0.203;0.212;0.170;0.176;0.710;0.644     
15;33;0.201;0.217;0.168;0.182;0.710;0.647     
16;33;0.204;0.211;0.170;0.177;0.711;0.649     
17;33;0.199;0.215;0.167;0.180;0.711;0.650     
18;33;0.201;0.209;0.169;0.175;0.707;0.653     
19;33;0.199;0.207;0.167;0.174;0.708;0.652     
20;33;0.201;0.217;0.169;0.182;0.712;0.660     
21;33;0.206;0.213;0.174;0.179;0.710;0.660     
22;33;0.200;0.211;0.168;0.178;0.704;0.652     
23;33;0.176;0.183;0.148;0.154;0.699;0.630     
24;33;0.177;0.192;0.149;0.162;0.692;0.680     
25;33;0.174;0.181;0.147;0.153;0.697;0.631     
26;33;0.186;0.189;0.157;0.160;0.688;0.653     
27;33;0.184;0.196;0.155;0.165;0.689;0.656     
28;33;0.190;0.205;0.160;0.173;0.688;0.645     
29;33;0.185;0.197;0.156;0.166;0.693;0.670     
30;33;0.195;0.203;0.164;0.171;0.689;0.645     
31;33;0.196;0.208;0.166;0.176;0.699;0.655     
32;33;0.183;0.195;0.155;0.165;0.690;0.668     
33;33;0.188;0.199;0.158;0.168;0.692;0.670     
34;33;0.195;0.206;0.165;0.174;0.691;0.646     
35;33;0.188;0.191;0.158;0.161;0.692;0.668     
36;33;0.195;0.199;0.165;0.168;0.690;0.677     
37;33;0.184;0.196;0.155;0.165;0.692;0.667     
38;33;0.183;0.194;0.155;0.164;0.691;0.663     
39;33;0.196;0.207;0.165;0.175;0.696;0.647     
40;33;0.197;0.200;0.166;0.170;0.690;0.646     
41;33;0.186;0.201;0.157;0.170;0.682;0.642     
42;33;0.196;0.207;0.166;0.175;0.695;0.655     
43;33;0.187;0.199;0.158;0.169;0.695;0.654     
44;33;0.189;0.193;0.159;0.163;0.687;0.666     
45;33;0.197;0.201;0.167;0.170;0.688;0.653     
46;33;0.181;0.196;0.153;0.166;0.680;0.646     
47;33;0.196;0.207;0.165;0.175;0.690;0.646     
48;33;0.177;0.191;0.149;0.161;0.674;0.663     
49;33;0.174;0.186;0.147;0.158;0.686;0.669     
50;33;0.189;0.193;0.161;0.163;0.687;0.654  
51;33;0.186;0.193;0.157;0.163;0.675;0.639     
52;33;0.191;0.194;0.162;0.165;0.684;0.653     
53;33;0.190;0.193;0.161;0.163;0.685;0.644     
54;33;0.186;0.197;0.157;0.167;0.684;0.646     
55;33;0.186;0.197;0.157;0.167;0.685;0.650     
56;33;0.182;0.197;0.154;0.167;0.687;0.654     
57;33;0.185;0.197;0.156;0.166;0.684;0.644     
58;33;0.172;0.187;0.146;0.158;0.667;0.659     
59;33;0.184;0.191;0.156;0.162;0.684;0.653     
60;33;0.167;0.182;0.141;0.154;0.679;0.626     
61;33;0.165;0.180;0.140;0.153;0.676;0.626     
62;33;0.165;0.180;0.140;0.153;0.679;0.625     
63;33;0.188;0.191;0.159;0.162;0.686;0.645     
64;33;0.166;0.182;0.140;0.154;0.678;0.625     
65;33;0.160;0.178;0.135;0.151;0.665;0.637     
66;33;0.169;0.176;0.143;0.149;0.679;0.624     
67;33;0.160;0.178;0.135;0.151;0.668;0.637     
68;33;0.168;0.176;0.143;0.149;0.677;0.622     
69;33;0.166;0.181;0.141;0.153;0.676;0.624     
70;33;0.166;0.182;0.141;0.154;0.676;0.623     
71;33;0.167;0.182;0.141;0.154;0.678;0.624     
72;33;0.168;0.183;0.142;0.155;0.680;0.626     
73;33;0.168;0.184;0.142;0.156;0.682;0.626     
74;33;0.161;0.180;0.137;0.152;0.665;0.637     
75;33;0.159;0.178;0.135;0.150;0.666;0.639     
76;33;0.167;0.182;0.141;0.154;0.678;0.625     
77;33;0.166;0.181;0.140;0.153;0.674;0.623     
78;33;0.166;0.182;0.141;0.154;0.675;0.625     
79;33;0.169;0.184;0.144;0.156;0.676;0.627     
80;33;0.165;0.180;0.140;0.153;0.676;0.622     
81;33;0.166;0.182;0.141;0.154;0.678;0.625     
82;33;0.165;0.181;0.140;0.153;0.680;0.623     
83;33;0.158;0.178;0.134;0.151;0.670;0.640     
84;33;0.164;0.179;0.139;0.152;0.675;0.623     
85;33;0.166;0.181;0.140;0.153;0.675;0.624     
86;33;0.165;0.180;0.140;0.153;0.675;0.623     
87;33;0.166;0.181;0.140;0.154;0.677;0.624     
88;33;0.168;0.175;0.142;0.148;0.673;0.623     
89;33;0.164;0.180;0.139;0.153;0.678;0.621     
90;33;0.166;0.181;0.140;0.153;0.676;0.621     
91;33;0.170;0.178;0.144;0.150;0.676;0.624     
92;33;0.167;0.182;0.141;0.154;0.675;0.623     
93;33;0.167;0.183;0.141;0.155;0.674;0.623     
94;33;0.166;0.182;0.141;0.154;0.674;0.622     
95;33;0.175;0.192;0.148;0.162;0.677;0.622     
96;33;0.166;0.181;0.140;0.154;0.675;0.623     
97;33;0.166;0.181;0.140;0.153;0.676;0.624     
98;33;0.166;0.181;0.141;0.153;0.676;0.623     
99;33;0.153;0.166;0.130;0.140;0.660;0.622     
100;33;0.166;0.181;0.140;0.153;0.675;0.621  
